Hospital Name,City,State,ZIP,Address,Service Name,Service Code,Department,Price (USD),Insurance Accepted,Average Wait Time (min),Hospital Rating
Hospital 23,City 3,State 3,13177,"638 Main St, City 3, State 3",CT Scan,71260,Radiology,6382,Private,16,4.1
Hospital 23,City 3,State 3,41417,"184 Main St, City 3, State 3",Physical Exam,99386,General,4392,Medicare,30,3.5
Hospital 23,City 3,State 3,68675,"427 Main St, City 3, State 3",Knee Replacement,27447,Orthopedics,7507,Uninsured,8,3.3
Hospital 23,City 3,State 3,86845,"189 Main St, City 3, State 3",Cardiac Stress Test,93015,Cardiology,6443,Private,44,3.2
Hospital 23,City 3,State 3,16216,"430 Main St, City 3, State 3",Colonoscopy,45378,Gastroenterology,5305,Medicare,30,3.1
Hospital 23,City 3,State 3,41925,"563 Main St, City 3, State 3",Ultrasound,76801,Radiology,13367,Medicare,27,2.6
Hospital 24,City 4,State 4,77306,"449 Main St, City 4, State 4",MRI,70551,Radiology,3615,Private,11,3.1
Hospital 24,City 4,State 4,42918,"437 Main St, City 4, State 4",X-Ray,71020,Radiology,6864,Medicare,56,3.3
Hospital 24,City 4,State 4,15587,"892 Main St, City 4, State 4",Blood Test,85025,Laboratory,13602,Uninsured,27,3.1
Hospital 24,City 4,State 4,87684,"502 Main St, City 4, State 4",Appendectomy,44950,Surgery,6360,Uninsured,13,2.6
Hospital 24,City 4,State 4,86876,"868 Main St, City 4, State 4",CT Scan,71260,Radiology,19130,Private,11,3.6
Hospital 24,City 4,State 4,33349,"669 Main St, City 4, State 4",Physical Exam,99386,General,12890,Private,57,2.6
Hospital 24,City 4,State 4,94437,"206 Main St, City 4, State 4",Knee Replacement,27447,Orthopedics,17678,Medicare,23,4.1
Hospital 24,City 4,State 4,27339,"291 Main St, City 4, State 4",Cardiac Stress Test,93015,Cardiology,7273,Uninsured,29,3.1
Hospital 24,City 4,State 4,51160,"541 Main St, City 4, State 4",Colonoscopy,45378,Gastroenterology,1325,Uninsured,8,2.7
Hospital 24,City 4,State 4,41231,"114 Main St, City 4, State 4",Ultrasound,76801,Radiology,2198,Uninsured,27,4.9
Hospital 25,City 5,State 5,22553,"333 Main St, City 5, State 5",MRI,70551,Radiology,8911,Uninsured,33,4.8
Hospital 25,City 5,State 5,49132,"388 Main St, City 5, State 5",X-Ray,71020,Radiology,949,Uninsured,45,3.2
Hospital 25,City 5,State 5,69188,"393 Main St, City 5, State 5",Blood Test,85025,Laboratory,7794,Private,36,4.2
Hospital 25,City 5,State 5,78234,"718 Main St, City 5, State 5",Appendectomy,44950,Surgery,11308,Medicare,56,4.4
Hospital 25,City 5,State 5,79260,"897 Main St, City 5, State 5",CT Scan,71260,Radiology,2747,Private,35,2.6
Hospital 25,City 5,State 5,36868,"100 Main St, City 5, State 5",Physical Exam,99386,General,2576,Uninsured,42,3.8
Hospital 25,City 5,State 5,78180,"649 Main St, City 5, State 5",Knee Replacement,27447,Orthopedics,2278,Uninsured,14,4
Hospital 25,City 5,State 5,29258,"320 Main St, City 5, State 5",Cardiac Stress Test,93015,Cardiology,12458,Uninsured,7,3.7
Hospital 25,City 5,State 5,72501,"487 Main St, City 5, State 5",Colonoscopy,45378,Gastroenterology,13112,Medicare,9,3.8
Hospital 25,City 5,State 5,48409,"529 Main St, City 5, State 5",Ultrasound,76801,Radiology,18707,Uninsured,52,3.8
Hospital 26,City 6,State 6,98556,"821 Main St, City 6, State 6",MRI,70551,Radiology,4786,Medicare,30,2.7
Hospital 26,City 6,State 6,62489,"249 Main St, City 6, State 6",X-Ray,71020,Radiology,9183,Uninsured,9,3.4
Hospital 26,City 6,State 6,37615,"247 Main St, City 6, State 6",Blood Test,85025,Laboratory,17544,Uninsured,21,3.4
Hospital 26,City 6,State 6,52685,"351 Main St, City 6, State 6",Appendectomy,44950,Surgery,9611,Medicare,13,3.7
Hospital 26,City 6,State 6,44702,"299 Main St, City 6, State 6",CT Scan,71260,Radiology,16946,Uninsured,8,4.9
Hospital 26,City 6,State 6,52668,"971 Main St, City 6, State 6",Physical Exam,99386,General,16894,Uninsured,20,3.7
Hospital 26,City 6,State 6,42710,"648 Main St, City 6, State 6",Knee Replacement,27447,Orthopedics,3656,Medicare,50,4.9
Hospital 26,City 6,State 6,58983,"627 Main St, City 6, State 6",Cardiac Stress Test,93015,Cardiology,15589,Medicare,45,2.7
Hospital 26,City 6,State 6,21645,"659 Main St, City 6, State 6",Colonoscopy,45378,Gastroenterology,12765,Uninsured,43,4.6
Hospital 26,City 6,State 6,33662,"306 Main St, City 6, State 6",Ultrasound,76801,Radiology,18249,Medicare,44,4.7
Hospital 27,City 7,State 7,17792,"844 Main St, City 7, State 7",MRI,70551,Radiology,18211,Medicare,7,2.7
Hospital 27,City 7,State 7,47904,"762 Main St, City 7, State 7",X-Ray,71020,Radiology,3023,Medicare,33,3.3
Hospital 27,City 7,State 7,35588,"761 Main St, City 7, State 7",Blood Test,85025,Laboratory,15902,Medicare,41,2.7
Hospital 27,City 7,State 7,66370,"892 Main St, City 7, State 7",Appendectomy,44950,Surgery,10086,Private,25,5
Hospital 27,City 7,State 7,30706,"441 Main St, City 7, State 7",CT Scan,71260,Radiology,339,Medicare,24,3.4
Hospital 27,City 7,State 7,29959,"970 Main St, City 7, State 7",Physical Exam,99386,General,7281,Medicare,36,3.9
Hospital 27,City 7,State 7,81660,"241 Main St, City 7, State 7",Knee Replacement,27447,Orthopedics,3399,Uninsured,52,3.2
Hospital 27,City 7,State 7,12702,"227 Main St, City 7, State 7",Cardiac Stress Test,93015,Cardiology,400,Private,11,2.7
Hospital 27,City 7,State 7,62821,"613 Main St, City 7, State 7",Colonoscopy,45378,Gastroenterology,19981,Medicare,21,4.9
Hospital 27,City 7,State 7,17521,"900 Main St, City 7, State 7",Ultrasound,76801,Radiology,17511,Medicare,15,4.8
Hospital 28,City 8,State 8,10571,"269 Main St, City 8, State 8",MRI,70551,Radiology,4364,Medicare,48,4.7
Hospital 28,City 8,State 8,16530,"208 Main St, City 8, State 8",X-Ray,71020,Radiology,18344,Private,21,5
Hospital 28,City 8,State 8,79324,"264 Main St, City 8, State 8",Blood Test,85025,Laboratory,4352,Medicare,52,3.9
Hospital 28,City 8,State 8,40759,"799 Main St, City 8, State 8",Appendectomy,44950,Surgery,5797,Medicare,26,4.1
Hospital 28,City 8,State 8,98164,"659 Main St, City 8, State 8",CT Scan,71260,Radiology,11418,Medicare,15,3.5
Hospital 28,City 8,State 8,53546,"791 Main St, City 8, State 8",Physical Exam,99386,General,13359,Medicare,7,4.2
Hospital 28,City 8,State 8,77097,"395 Main St, City 8, State 8",Knee Replacement,27447,Orthopedics,5584,Uninsured,5,3.6
Hospital 28,City 8,State 8,58238,"816 Main St, City 8, State 8",Cardiac Stress Test,93015,Cardiology,7782,Private,13,2.7
Hospital 28,City 8,State 8,95718,"152 Main St, City 8, State 8",Colonoscopy,45378,Gastroenterology,7154,Private,39,3
Hospital 28,City 8,State 8,25493,"818 Main St, City 8, State 8",Ultrasound,76801,Radiology,12597,Uninsured,5,4.5
Hospital 29,City 9,State 9,46050,"170 Main St, City 9, State 9",MRI,70551,Radiology,16014,Uninsured,46,3.5
Hospital 29,City 9,State 9,67137,"230 Main St, City 9, State 9",X-Ray,71020,Radiology,15354,Medicare,52,4.8
Hospital 29,City 9,State 9,70295,"144 Main St, City 9, State 9",Blood Test,85025,Laboratory,12423,Uninsured,22,3.3
Hospital 29,City 9,State 9,70334,"598 Main St, City 9, State 9",Appendectomy,44950,Surgery,16019,Private,38,4.7
Hospital 29,City 9,State 9,53652,"161 Main St, City 9, State 9",CT Scan,71260,Radiology,5059,Private,43,4.3
Hospital 29,City 9,State 9,99330,"317 Main St, City 9, State 9",Physical Exam,99386,General,19881,Medicare,36,3.7
Hospital 29,City 9,State 9,40395,"322 Main St, City 9, State 9",Knee Replacement,27447,Orthopedics,6361,Uninsured,33,4.2
Hospital 29,City 9,State 9,56285,"281 Main St, City 9, State 9",Cardiac Stress Test,93015,Cardiology,10051,Uninsured,56,3.4
Hospital 29,City 9,State 9,94889,"768 Main St, City 9, State 9",Colonoscopy,45378,Gastroenterology,17424,Uninsured,36,3.5
Hospital 29,City 9,State 9,53498,"990 Main St, City 9, State 9",Ultrasound,76801,Radiology,17440,Uninsured,12,4.1
Hospital 30,City 10,State 10,26503,"535 Main St, City 10, State 10",MRI,70551,Radiology,3218,Private,31,4.9
Hospital 30,City 10,State 10,85585,"472 Main St, City 10, State 10",X-Ray,71020,Radiology,10487,Private,8,2.7
Hospital 30,City 10,State 10,33867,"380 Main St, City 10, State 10",Blood Test,85025,Laboratory,16510,Private,52,3.5
Hospital 30,City 10,State 10,92741,"132 Main St, City 10, State 10",Appendectomy,44950,Surgery,3543,Medicare,9,3.8
Hospital 30,City 10,State 10,12769,"626 Main St, City 10, State 10",CT Scan,71260,Radiology,17738,Uninsured,44,3.7
Hospital 30,City 10,State 10,21580,"887 Main St, City 10, State 10",Physical Exam,99386,General,3799,Medicare,7,4.1
Hospital 30,City 10,State 10,57158,"577 Main St, City 10, State 10",Knee Replacement,27447,Orthopedics,5867,Private,44,2.5
Hospital 30,City 10,State 10,90070,"196 Main St, City 10, State 10",Cardiac Stress Test,93015,Cardiology,12948,Private,56,3.9
Hospital 30,City 10,State 10,90339,"644 Main St, City 10, State 10",Colonoscopy,45378,Gastroenterology,136,Medicare,25,2.9
Hospital 30,City 10,State 10,42353,"893 Main St, City 10, State 10",Ultrasound,76801,Radiology,11921,Uninsured,42,4
Hospital 31,City 11,State 1,95982,"641 Main St, City 11, State 1",MRI,70551,Radiology,5301,Private,35,4.9
Hospital 31,City 11,State 1,91780,"203 Main St, City 11, State 1",X-Ray,71020,Radiology,12844,Medicare,24,4.5
Hospital 31,City 11,State 1,76327,"542 Main St, City 11, State 1",Blood Test,85025,Laboratory,15892,Uninsured,58,3.9
Hospital 31,City 11,State 1,74719,"322 Main St, City 11, State 1",Appendectomy,44950,Surgery,19388,Medicare,41,2.8
Hospital 31,City 11,State 1,88393,"539 Main St, City 11, State 1",CT Scan,71260,Radiology,1203,Medicare,58,3.6
Hospital 31,City 11,State 1,52622,"490 Main St, City 11, State 1",Physical Exam,99386,General,1449,Private,58,3
Hospital 31,City 11,State 1,11997,"377 Main St, City 11, State 1",Knee Replacement,27447,Orthopedics,7038,Uninsured,26,3
Hospital 31,City 11,State 1,15840,"630 Main St, City 11, State 1",Cardiac Stress Test,93015,Cardiology,12318,Private,34,4.7
Hospital 31,City 11,State 1,31355,"229 Main St, City 11, State 1",Colonoscopy,45378,Gastroenterology,12197,Uninsured,41,3.6
Hospital 31,City 11,State 1,75450,"902 Main St, City 11, State 1",Ultrasound,76801,Radiology,4864,Private,48,3.2
Hospital 32,City 12,State 2,90348,"998 Main St, City 12, State 2",MRI,70551,Radiology,19519,Private,59,4
Hospital 32,City 12,State 2,32302,"390 Main St, City 12, State 2",X-Ray,71020,Radiology,8375,Medicare,43,3
Hospital 32,City 12,State 2,66709,"116 Main St, City 12, State 2",Blood Test,85025,Laboratory,12448,Medicare,35,3.8
Hospital 32,City 12,State 2,21881,"592 Main St, City 12, State 2",Appendectomy,44950,Surgery,10043,Medicare,25,3.2
Hospital 32,City 12,State 2,12044,"879 Main St, City 12, State 2",CT Scan,71260,Radiology,3833,Private,45,4.8
Hospital 32,City 12,State 2,48957,"626 Main St, City 12, State 2",Physical Exam,99386,General,1468,Medicare,39,2.8
Hospital 32,City 12,State 2,98181,"356 Main St, City 12, State 2",Knee Replacement,27447,Orthopedics,5538,Private,21,4.6
Hospital 32,City 12,State 2,38105,"500 Main St, City 12, State 2",Cardiac Stress Test,93015,Cardiology,12735,Medicare,45,2.9
Hospital 32,City 12,State 2,72532,"263 Main St, City 12, State 2",Colonoscopy,45378,Gastroenterology,13230,Private,6,4.7
Hospital 32,City 12,State 2,57537,"598 Main St, City 12, State 2",Ultrasound,76801,Radiology,15742,Uninsured,20,2.9
Hospital 33,City 13,State 3,39521,"498 Main St, City 13, State 3",MRI,70551,Radiology,14744,Uninsured,52,4.6
Hospital 33,City 13,State 3,30900,"401 Main St, City 13, State 3",X-Ray,71020,Radiology,5758,Private,23,4.3
Hospital 33,City 13,State 3,36610,"757 Main St, City 13, State 3",Blood Test,85025,Laboratory,8029,Uninsured,58,3.9
Hospital 33,City 13,State 3,20981,"394 Main St, City 13, State 3",Appendectomy,44950,Surgery,16763,Uninsured,52,2.8
Hospital 33,City 13,State 3,85481,"919 Main St, City 13, State 3",CT Scan,71260,Radiology,14890,Private,32,4.8
Hospital 33,City 13,State 3,87700,"731 Main St, City 13, State 3",Physical Exam,99386,General,12392,Private,48,4.5
Hospital 33,City 13,State 3,95505,"877 Main St, City 13, State 3",Knee Replacement,27447,Orthopedics,14454,Uninsured,15,4.5
Hospital 33,City 13,State 3,52810,"242 Main St, City 13, State 3",Cardiac Stress Test,93015,Cardiology,16273,Medicare,49,3.7
Hospital 33,City 13,State 3,81191,"171 Main St, City 13, State 3",Colonoscopy,45378,Gastroenterology,15197,Uninsured,37,2.7
Hospital 33,City 13,State 3,21367,"525 Main St, City 13, State 3",Ultrasound,76801,Radiology,5239,Uninsured,18,2.8
Hospital 34,City 14,State 4,96689,"324 Main St, City 14, State 4",MRI,70551,Radiology,16203,Medicare,28,4
Hospital 34,City 14,State 4,12524,"815 Main St, City 14, State 4",X-Ray,71020,Radiology,16956,Medicare,18,4.9
Hospital 34,City 14,State 4,28285,"682 Main St, City 14, State 4",Blood Test,85025,Laboratory,19322,Uninsured,26,2.8
Hospital 34,City 14,State 4,13523,"951 Main St, City 14, State 4",Appendectomy,44950,Surgery,1844,Uninsured,36,4.1
Hospital 34,City 14,State 4,17706,"694 Main St, City 14, State 4",CT Scan,71260,Radiology,11904,Uninsured,27,3.8
Hospital 34,City 14,State 4,57611,"782 Main St, City 14, State 4",Physical Exam,99386,General,1373,Private,27,2.5
Hospital 34,City 14,State 4,43305,"630 Main St, City 14, State 4",Knee Replacement,27447,Orthopedics,18580,Private,49,3.1
Hospital 34,City 14,State 4,25882,"184 Main St, City 14, State 4",Cardiac Stress Test,93015,Cardiology,17355,Medicare,45,3.9
Hospital 34,City 14,State 4,42547,"241 Main St, City 14, State 4",Colonoscopy,45378,Gastroenterology,13903,Private,42,3
Hospital 34,City 14,State 4,56345,"418 Main St, City 14, State 4",Ultrasound,76801,Radiology,15162,Private,9,2.9
Hospital 35,City 15,State 5,38943,"331 Main St, City 15, State 5",MRI,70551,Radiology,15720,Medicare,56,3.1
Hospital 35,City 15,State 5,80724,"126 Main St, City 15, State 5",X-Ray,71020,Radiology,14946,Medicare,55,3.3
Hospital 35,City 15,State 5,87507,"811 Main St, City 15, State 5",Blood Test,85025,Laboratory,6569,Uninsured,44,3.6
Hospital 35,City 15,State 5,39835,"374 Main St, City 15, State 5",Appendectomy,44950,Surgery,11240,Private,7,2.7
Hospital 35,City 15,State 5,41699,"966 Main St, City 15, State 5",CT Scan,71260,Radiology,5299,Uninsured,30,4.5
Hospital 35,City 15,State 5,66727,"468 Main St, City 15, State 5",Physical Exam,99386,General,16269,Private,37,2.6
Hospital 35,City 15,State 5,39834,"125 Main St, City 15, State 5",Knee Replacement,27447,Orthopedics,14884,Private,36,3.5
Hospital 35,City 15,State 5,70752,"834 Main St, City 15, State 5",Cardiac Stress Test,93015,Cardiology,17571,Private,33,4.3
Hospital 35,City 15,State 5,12022,"818 Main St, City 15, State 5",Colonoscopy,45378,Gastroenterology,18467,Uninsured,31,4.3
Hospital 35,City 15,State 5,25736,"416 Main St, City 15, State 5",Ultrasound,76801,Radiology,14406,Private,18,2.7
Hospital 36,City 16,State 6,84632,"784 Main St, City 16, State 6",MRI,70551,Radiology,12753,Uninsured,18,4.7
Hospital 36,City 16,State 6,82718,"946 Main St, City 16, State 6",X-Ray,71020,Radiology,18985,Private,43,3.9
Hospital 36,City 16,State 6,59517,"573 Main St, City 16, State 6",Blood Test,85025,Laboratory,10310,Uninsured,39,3.8
Hospital 36,City 16,State 6,43710,"469 Main St, City 16, State 6",Appendectomy,44950,Surgery,10926,Private,7,3.4
Hospital 36,City 16,State 6,93330,"459 Main St, City 16, State 6",CT Scan,71260,Radiology,1593,Uninsured,13,4
Hospital 36,City 16,State 6,79089,"466 Main St, City 16, State 6",Physical Exam,99386,General,19084,Private,39,4.3
Hospital 36,City 16,State 6,14771,"794 Main St, City 16, State 6",Knee Replacement,27447,Orthopedics,8091,Uninsured,56,2.5
Hospital 36,City 16,State 6,76118,"777 Main St, City 16, State 6",Cardiac Stress Test,93015,Cardiology,12941,Uninsured,10,2.8
Hospital 36,City 16,State 6,86191,"610 Main St, City 16, State 6",Colonoscopy,45378,Gastroenterology,6943,Medicare,49,4.5
Hospital 36,City 16,State 6,95639,"220 Main St, City 16, State 6",Ultrasound,76801,Radiology,2685,Private,27,3.6
Hospital 37,City 17,State 7,96653,"827 Main St, City 17, State 7",MRI,70551,Radiology,7807,Medicare,50,3.7
Hospital 37,City 17,State 7,80261,"166 Main St, City 17, State 7",X-Ray,71020,Radiology,3635,Uninsured,31,4.7
Hospital 37,City 17,State 7,89200,"469 Main St, City 17, State 7",Blood Test,85025,Laboratory,2132,Medicare,9,3.4
Hospital 37,City 17,State 7,41848,"997 Main St, City 17, State 7",Appendectomy,44950,Surgery,14417,Private,35,4.6
Hospital 37,City 17,State 7,29903,"253 Main St, City 17, State 7",CT Scan,71260,Radiology,18910,Private,40,2.6
Hospital 37,City 17,State 7,30336,"892 Main St, City 17, State 7",Physical Exam,99386,General,18038,Uninsured,36,3.5
Hospital 37,City 17,State 7,22142,"332 Main St, City 17, State 7",Knee Replacement,27447,Orthopedics,19302,Uninsured,38,3.8
Hospital 37,City 17,State 7,20419,"875 Main St, City 17, State 7",Cardiac Stress Test,93015,Cardiology,4409,Private,40,3.6
Hospital 37,City 17,State 7,52524,"246 Main St, City 17, State 7",Colonoscopy,45378,Gastroenterology,17768,Medicare,39,3.5
Hospital 37,City 17,State 7,58051,"285 Main St, City 17, State 7",Ultrasound,76801,Radiology,19302,Private,14,2.6
Hospital 38,City 18,State 8,86919,"757 Main St, City 18, State 8",MRI,70551,Radiology,3135,Uninsured,30,3
Hospital 38,City 18,State 8,91127,"503 Main St, City 18, State 8",X-Ray,71020,Radiology,17007,Uninsured,33,3.6
Hospital 38,City 18,State 8,76021,"788 Main St, City 18, State 8",Blood Test,85025,Laboratory,10207,Private,32,4.7
Hospital 38,City 18,State 8,16336,"584 Main St, City 18, State 8",Appendectomy,44950,Surgery,9945,Uninsured,51,3.9
Hospital 38,City 18,State 8,47476,"371 Main St, City 18, State 8",CT Scan,71260,Radiology,6475,Medicare,7,3.5
Hospital 38,City 18,State 8,37145,"107 Main St, City 18, State 8",Physical Exam,99386,General,5539,Medicare,10,3.6
Hospital 38,City 18,State 8,29164,"372 Main St, City 18, State 8",Knee Replacement,27447,Orthopedics,4738,Medicare,40,2.6
Hospital 38,City 18,State 8,81380,"117 Main St, City 18, State 8",Cardiac Stress Test,93015,Cardiology,13042,Private,19,3.7
Hospital 38,City 18,State 8,83866,"534 Main St, City 18, State 8",Colonoscopy,45378,Gastroenterology,9608,Private,21,3.3
Hospital 38,City 18,State 8,12167,"323 Main St, City 18, State 8",Ultrasound,76801,Radiology,13948,Medicare,44,4.7
Hospital 39,City 19,State 9,34834,"851 Main St, City 19, State 9",MRI,70551,Radiology,9680,Medicare,38,3.8
Hospital 39,City 19,State 9,55093,"847 Main St, City 19, State 9",X-Ray,71020,Radiology,19926,Uninsured,20,2.8
Hospital 39,City 19,State 9,42753,"190 Main St, City 19, State 9",Blood Test,85025,Laboratory,17521,Uninsured,24,3.8
Hospital 39,City 19,State 9,25504,"891 Main St, City 19, State 9",Appendectomy,44950,Surgery,821,Private,20,4
Hospital 39,City 19,State 9,73428,"710 Main St, City 19, State 9",CT Scan,71260,Radiology,10895,Medicare,19,3.3
Hospital 39,City 19,State 9,19002,"350 Main St, City 19, State 9",Physical Exam,99386,General,6184,Uninsured,56,3.8
Hospital 39,City 19,State 9,22706,"956 Main St, City 19, State 9",Knee Replacement,27447,Orthopedics,1709,Medicare,50,3.8
Hospital 39,City 19,State 9,20669,"479 Main St, City 19, State 9",Cardiac Stress Test,93015,Cardiology,18865,Medicare,5,4.2
Hospital 39,City 19,State 9,61251,"917 Main St, City 19, State 9",Colonoscopy,45378,Gastroenterology,883,Uninsured,38,3.5
Hospital 39,City 19,State 9,61558,"553 Main St, City 19, State 9",Ultrasound,76801,Radiology,19253,Private,57,3.1
Hospital 40,City 20,State 10,61403,"494 Main St, City 20, State 10",MRI,70551,Radiology,3496,Private,9,3.9
Hospital 40,City 20,State 10,27630,"893 Main St, City 20, State 10",X-Ray,71020,Radiology,18076,Medicare,28,4.1
Hospital 40,City 20,State 10,28290,"474 Main St, City 20, State 10",Blood Test,85025,Laboratory,12503,Private,7,4.5
Hospital 40,City 20,State 10,46742,"926 Main St, City 20, State 10",Appendectomy,44950,Surgery,3682,Private,37,3.8
Hospital 40,City 20,State 10,23144,"793 Main St, City 20, State 10",CT Scan,71260,Radiology,9860,Uninsured,53,2.8
Hospital 40,City 20,State 10,58311,"217 Main St, City 20, State 10",Physical Exam,99386,General,1207,Medicare,13,3.2
Hospital 40,City 20,State 10,91709,"143 Main St, City 20, State 10",Knee Replacement,27447,Orthopedics,11478,Medicare,51,3.2
Hospital 40,City 20,State 10,42786,"674 Main St, City 20, State 10",Cardiac Stress Test,93015,Cardiology,2433,Medicare,27,4
Hospital 40,City 20,State 10,28874,"138 Main St, City 20, State 10",Colonoscopy,45378,Gastroenterology,11587,Medicare,44,3.3
Hospital 40,City 20,State 10,61573,"162 Main St, City 20, State 10",Ultrasound,76801,Radiology,5936,Private,30,4.6
Hospital 41,City 1,State 1,14657,"788 Main St, City 1, State 1",MRI,70551,Radiology,10985,Medicare,44,3.5
Hospital 41,City 1,State 1,36304,"948 Main St, City 1, State 1",X-Ray,71020,Radiology,11608,Medicare,42,4.8
Hospital 41,City 1,State 1,58789,"487 Main St, City 1, State 1",Blood Test,85025,Laboratory,3186,Medicare,14,3.1
Hospital 41,City 1,State 1,18731,"322 Main St, City 1, State 1",Appendectomy,44950,Surgery,7885,Private,40,4.8
Hospital 41,City 1,State 1,87363,"578 Main St, City 1, State 1",CT Scan,71260,Radiology,11947,Uninsured,20,4.1
Hospital 41,City 1,State 1,94071,"523 Main St, City 1, State 1",Physical Exam,99386,General,17122,Private,41,3.8
Hospital 41,City 1,State 1,37627,"807 Main St, City 1, State 1",Knee Replacement,27447,Orthopedics,14500,Uninsured,23,4.5
Hospital 41,City 1,State 1,49895,"301 Main St, City 1, State 1",Cardiac Stress Test,93015,Cardiology,3581,Private,51,4.6
Hospital 41,City 1,State 1,66814,"459 Main St, City 1, State 1",Colonoscopy,45378,Gastroenterology,16586,Uninsured,52,2.8
Hospital 41,City 1,State 1,54212,"109 Main St, City 1, State 1",Ultrasound,76801,Radiology,17341,Medicare,20,4.2
Hospital 42,City 2,State 2,11508,"650 Main St, City 2, State 2",MRI,70551,Radiology,6699,Private,54,2.8
Hospital 42,City 2,State 2,25961,"879 Main St, City 2, State 2",X-Ray,71020,Radiology,2655,Uninsured,6,3.9
Hospital 42,City 2,State 2,31809,"394 Main St, City 2, State 2",Blood Test,85025,Laboratory,12456,Private,23,3.4
Hospital 42,City 2,State 2,69517,"529 Main St, City 2, State 2",Appendectomy,44950,Surgery,344,Private,9,3.8
Hospital 42,City 2,State 2,48502,"290 Main St, City 2, State 2",CT Scan,71260,Radiology,8511,Medicare,58,2.8
Hospital 42,City 2,State 2,49112,"871 Main St, City 2, State 2",Physical Exam,99386,General,5101,Uninsured,50,3.6
Hospital 42,City 2,State 2,22205,"764 Main St, City 2, State 2",Knee Replacement,27447,Orthopedics,13229,Private,27,3.5
Hospital 42,City 2,State 2,87373,"615 Main St, City 2, State 2",Cardiac Stress Test,93015,Cardiology,1235,Private,30,4.8
Hospital 42,City 2,State 2,97388,"774 Main St, City 2, State 2",Colonoscopy,45378,Gastroenterology,16967,Medicare,17,3.9
Hospital 42,City 2,State 2,66044,"808 Main St, City 2, State 2",Ultrasound,76801,Radiology,12614,Uninsured,9,3
Hospital 43,City 3,State 3,60953,"486 Main St, City 3, State 3",MRI,70551,Radiology,5093,Uninsured,46,4.9
Hospital 43,City 3,State 3,73700,"881 Main St, City 3, State 3",X-Ray,71020,Radiology,10646,Private,26,3.5
Hospital 43,City 3,State 3,11942,"728 Main St, City 3, State 3",Blood Test,85025,Laboratory,15038,Private,9,2.8
Hospital 43,City 3,State 3,30431,"834 Main St, City 3, State 3",Appendectomy,44950,Surgery,5648,Uninsured,9,3.5
Hospital 43,City 3,State 3,28028,"101 Main St, City 3, State 3",CT Scan,71260,Radiology,1442,Medicare,37,2.5
Hospital 43,City 3,State 3,84613,"782 Main St, City 3, State 3",Physical Exam,99386,General,4454,Private,42,3
Hospital 43,City 3,State 3,50455,"503 Main St, City 3, State 3",Knee Replacement,27447,Orthopedics,729,Uninsured,51,3.4
Hospital 43,City 3,State 3,33287,"358 Main St, City 3, State 3",Cardiac Stress Test,93015,Cardiology,14490,Uninsured,57,2.8
Hospital 43,City 3,State 3,37972,"396 Main St, City 3, State 3",Colonoscopy,45378,Gastroenterology,13554,Medicare,14,3.8
Hospital 43,City 3,State 3,21954,"411 Main St, City 3, State 3",Ultrasound,76801,Radiology,10352,Medicare,40,4.2
Hospital 44,City 4,State 4,28047,"576 Main St, City 4, State 4",MRI,70551,Radiology,15563,Private,54,4.7
Hospital 44,City 4,State 4,95040,"974 Main St, City 4, State 4",X-Ray,71020,Radiology,9003,Private,43,3.8
Hospital 44,City 4,State 4,66691,"593 Main St, City 4, State 4",Blood Test,85025,Laboratory,5929,Private,23,3.1
Hospital 44,City 4,State 4,40852,"123 Main St, City 4, State 4",Appendectomy,44950,Surgery,18274,Private,25,4.9
Hospital 44,City 4,State 4,11462,"571 Main St, City 4, State 4",CT Scan,71260,Radiology,14427,Medicare,38,2.9
Hospital 44,City 4,State 4,40438,"645 Main St, City 4, State 4",Physical Exam,99386,General,11829,Uninsured,46,4.1
Hospital 44,City 4,State 4,55935,"627 Main St, City 4, State 4",Knee Replacement,27447,Orthopedics,732,Uninsured,34,3.6
Hospital 44,City 4,State 4,37583,"801 Main St, City 4, State 4",Cardiac Stress Test,93015,Cardiology,6110,Private,23,3.1
Hospital 44,City 4,State 4,83510,"511 Main St, City 4, State 4",Colonoscopy,45378,Gastroenterology,8273,Private,53,3.2
Hospital 44,City 4,State 4,40339,"794 Main St, City 4, State 4",Ultrasound,76801,Radiology,3896,Uninsured,5,4.8
Hospital 45,City 5,State 5,38686,"920 Main St, City 5, State 5",MRI,70551,Radiology,13134,Medicare,24,3.6
Hospital 45,City 5,State 5,80820,"269 Main St, City 5, State 5",X-Ray,71020,Radiology,18947,Private,41,2.8
Hospital 45,City 5,State 5,35411,"991 Main St, City 5, State 5",Blood Test,85025,Laboratory,9998,Private,19,4.2
Hospital 45,City 5,State 5,96669,"558 Main St, City 5, State 5",Appendectomy,44950,Surgery,15695,Uninsured,33,4.4
Hospital 45,City 5,State 5,44745,"954 Main St, City 5, State 5",CT Scan,71260,Radiology,1415,Private,16,3.8
Hospital 45,City 5,State 5,86300,"589 Main St, City 5, State 5",Physical Exam,99386,General,5003,Private,50,3
Hospital 45,City 5,State 5,29760,"454 Main St, City 5, State 5",Knee Replacement,27447,Orthopedics,13584,Medicare,29,3.5
Hospital 45,City 5,State 5,76498,"727 Main St, City 5, State 5",Cardiac Stress Test,93015,Cardiology,9455,Uninsured,13,4.1
Hospital 45,City 5,State 5,84247,"195 Main St, City 5, State 5",Colonoscopy,45378,Gastroenterology,8012,Medicare,10,3.5
